AdultWeekend,LongestRun_mi,Name,NightSkiing_ac,Region,Runs,SkiableTerrain_ac,Snow Making_ac,TerrainParks,averageSnowfall,base_elev,daysOpenLastYear,double,fastQuads,fastSixes,projectedDaysOpen,quad,state,summit_elev,surface,total_chairs,trams,triple,vertical_drop,yearsOpen
78.0,1.0,Holiday Valley,189.0,New York,60.0,290.0,266.0,5.0,180.0,1500,116.0,0,3,0,129.0,8,New York,2250,2,13,0,0,750,62.0
75.0,1.5,Holimont Ski Area,,New York,53.0,135.0,135.0,3.0,180.0,1560,110.0,3,1,0,119.0,1,New York,2260,1,8,0,2,700,57.0
58.0,1.0,Hunt Hollow Ski Club,400.0,New York,19.0,400.0,400.0,1.0,130.0,1000,,1,0,0,75.0,0,New York,2030,1,3,0,1,825,52.0
89.0,2.0,Hunter Mountain,,New York,67.0,320.0,320.0,4.0,120.0,1600,148.0,2,1,2,155.0,2,New York,3200,4,13,0,2,1600,59.0
60.0,0.5,Kissing Bridge,650.0,New York,39.0,700.0,550.0,5.0,120.0,1150,103.0,4,0,0,100.0,2,New York,1700,3,10,0,1,550,59.0
59.0,1.0,Labrador Mt.,180.0,New York,23.0,250.0,237.0,1.0,125.0,1125,,2,0,0,100.0,0,New York,1825,1,4,0,1,700,62.0
38.0,0.3,Maple Ski Ridge,20.0,New York,10.0,25.0,25.0,,,750,,1,0,0,,0,New York,1200,1,3,0,1,450,57.0
30.0,0.3,McCauley Mountain Ski Center,,New York,23.0,70.0,55.0,1.0,200.0,1563,105.0,1,0,0,105.0,0,New York,2250,4,5,0,0,633,61.0
54.0,1.0,Mount Peter Ski Area,69.0,New York,14.0,69.0,69.0,1.0,50.0,750,100.0,2,0,0,100.0,1,New York,1250,2,5,0,0,450,83.0
40.0,1.2,Oak Mountain,12.0,New York,22.0,46.0,18.0,1.0,120.0,1750,,0,0,0,,1,New York,2400,3,4,0,0,650,71.0
63.0,2.4,Peek'n Peak,110.0,New York,27.0,110.0,110.0,4.0,225.0,1400,110.0,0,0,0,,0,New York,1800,2,10,0,8,400,55.0
67.0,2.0,Plattekill Mountain,,New York,38.0,110.0,75.0,1.0,175.0,2400,65.0,1,0,0,65.0,0,New York,3500,2,4,0,1,1100,26.0
45.0,0.3,Royal Mountain Ski Area,,New York,14.0,35.0,28.0,,90.0,1250,,3,0,0,,0,New York,1800,0,3,0,0,550,63.0
48.0,0.8,Snow Ridge,40.0,New York,21.0,130.0,65.0,2.0,230.0,1350,73.0,4,0,0,100.0,0,New York,2000,2,6,0,0,650,74.0
59.0,0.4,Song Mountain,70.0,New York,24.0,93.0,70.0,,125.0,1240,90.0,1,0,0,122.0,0,New York,1940,3,5,0,1,700,55.0
59.0,1.0,Swain,80.0,New York,35.0,130.0,90.0,3.0,120.0,1320,102.0,1,0,0,100.0,3,New York,1970,1,5,0,0,650,72.0
57.0,0.4,Thunder Ridge,100.0,New York,30.0,100.0,100.0,,,770,121.0,2,0,0,121.0,0,New York,1270,3,6,0,1,500,60.0
49.0,2.0,Titus Mountain,70.0,New York,50.0,200.0,150.0,3.0,150.0,825,101.0,6,0,0,100.0,0,New York,2025,2,10,0,2,1200,59.0
55.0,0.4,Toggenburg Mountain,73.0,New York,22.0,85.0,,2.0,130.0,1300,,1,0,0,122.0,0,New York,2000,3,5,0,1,700,66.0
59.0,0.6,West Mountain,105.0,New York,29.0,124.0,105.0,1.0,80.0,460,,2,0,0,120.0,0,New York,1470,2,5,0,1,1010,58.0
96.0,2.1,Whiteface Mountain Resort,,New York,86.0,288.0,220.0,5.0,168.0,1220,122.0,5,1,0,141.0,1,New York,4650,2,12,1,2,3430,61.0
46.0,0.4,Willard Mountain,35.0,New York,16.0,50.0,35.0,,80.0,910,85.0,2,0,0,120.0,0,New York,1415,3,5,0,0,505,19.0
95.0,2.0,Windham Mountain,56.0,New York,54.0,285.0,280.0,6.0,105.0,1500,123.0,1,2,1,130.0,0,New York,3100,5,12,0,3,1600,59.0
39.0,0.3,Woods Valley Ski Area,15.0,New York,21.0,25.0,16.0,,180.0,900,,2,0,0,,0,New York,1400,4,6,0,0,500,55.0
64.0,0.5,Appalachian Ski Mountain,27.0,North Carolina,12.0,27.0,27.0,3.0,50.0,3635,100.0,1,0,0,100.0,2,North Carolina,4000,2,5,0,0,365,57.0
70.0,1.0,Cataloochee Ski Area,50.0,North Carolina,18.0,50.0,50.0,2.0,50.0,4660,141.0,1,0,0,108.0,1,North Carolina,5400,2,5,0,1,740,58.0
43.0,1.0,Sapphire Valley,8.0,North Carolina,,8.0,8.0,1.0,24.0,3200,53.0,0,0,0,60.0,1,North Carolina,3450,2,3,0,0,200,55.0
68.0,1.0,Beech Mountain Resort,95.0,North Carolina,17.0,95.0,95.0,1.0,31.0,4675,98.0,3,0,0,,3,North Carolina,5506,2,8,0,0,830,52.0
75.0,1.5,Sugar Mountain Resort,95.0,North Carolina,21.0,125.0,125.0,1.0,77.0,4100,114.0,4,0,1,120.0,0,North Carolina,5300,2,8,0,1,1200,50.0
65.0,0.6,Wolf Ridge Ski Resort,60.0,North Carolina,15.0,65.0,65.0,1.0,65.0,4000,,1,0,0,100.0,1,North Carolina,4700,2,4,0,0,720,49.0
43.0,0.2,Alpine Valley,72.0,Ohio,11.0,72.0,72.0,1.0,120.0,1260,105.0,1,0,0,,1,Ohio,1500,1,5,0,2,230,53.0
44.0,0.3,Boston Mills,40.0,Ohio,7.0,40.0,40.0,2.0,51.0,631,92.0,2,0,0,110.0,0,Ohio,871,2,8,0,4,264,56.0
44.0,0.3,Brandywine,85.0,Ohio,11.0,85.0,85.0,2.0,51.0,631,92.0,2,0,0,110.0,2,Ohio,871,5,16,0,7,240,56.0
44.0,0.5,Mad River Mountain,144.0,Ohio,20.0,144.0,144.0,4.0,36.0,1160,99.0,3,0,0,90.0,1,Ohio,1460,6,12,0,2,300,57.0
52.0,0.2,Snow Trails,80.0,Ohio,17.0,80.0,80.0,3.0,50.0,1174,101.0,2,0,0,70.0,0,Ohio,1475,3,9,0,4,301,58.0
40.0,1.5,Anthony Lakes Mountain Resort,,Oregon,21.0,1100.0,,2.0,300.0,7100,75.0,0,0,0,80.0,0,Oregon,8000,2,3,0,1,900,56.0
39.0,0.1,Cooper Spur,,Mt. Hood,10.0,50.0,,,100.0,3500,78.0,1,0,0,90.0,0,Oregon,4000,1,2,0,0,350,66.0
59.0,0.4,Hoodoo Ski Area,200.0,Oregon,34.0,806.0,,,350.0,4668,80.0,1,0,0,108.0,3,Oregon,5703,0,5,0,1,1035,81.0
52.0,1.0,Mt. Ashland,40.0,Oregon,23.0,220.0,,2.0,300.0,6383,94.0,2,0,0,92.0,0,Oregon,7533,1,5,0,2,1150,55.0
99.0,4.0,Mt. Bachelor,,Oregon,101.0,4318.0,20.0,5.0,462.0,5700,185.0,0,8,0,185.0,0,Oregon,9065,0,11,0,3,3365,61.0
70.0,3.0,Mt. Hood Skibowl,317.0,Mt. Hood,65.0,960.0,29.0,2.0,300.0,3600,125.0,4,0,0,144.0,0,Oregon,5100,5,9,0,0,1500,82.0
60.0,2.1,Willamette Pass,,Oregon,29.0,555.0,60.0,,430.0,5120,3.0,0,0,1,100.0,0,Oregon,6683,1,5,0,3,1563,78.0
60.0,1.0,Bear Creek Mountain Resort,86.0,Pennsylvania,23.0,86.0,86.0,3.0,30.0,600,91.0,0,0,0,90.0,3,Pennsylvania,1100,2,6,0,1,510,52.0
62.0,1.5,Ski Big Bear,26.0,Pennsylvania,18.0,26.0,26.0,1.0,69.0,600,75.0,4,0,0,75.0,0,Pennsylvania,1250,2,6,0,0,650,43.0
65.0,,Big Boulder,55.0,Pennsylvania,16.0,55.0,55.0,8.0,50.0,1700,76.0,5,0,0,95.0,0,Pennsylvania,2175,1,8,0,2,600,72.0
68.0,2.0,Blue Knob,42.0,Pennsylvania,34.0,100.0,84.0,1.0,120.0,2074,87.0,2,0,0,105.0,0,Pennsylvania,3146,2,6,0,2,1072,56.0
65.0,1.2,Blue Mountain Resort,164.0,Pennsylvania,39.0,164.0,164.0,5.0,33.0,460,122.0,3,1,1,112.0,1,Pennsylvania,1600,9,16,0,1,1082,42.0
70.0,1.0,Camelback Mountain Resort,160.0,Pennsylvania,37.0,166.0,166.0,5.0,50.0,1250,100.0,5,2,0,100.0,0,Pennsylvania,2100,6,16,0,3,800,56.0
69.0,0.7,Elk Mountain Ski Resort,90.0,Pennsylvania,27.0,180.0,146.0,2.0,60.0,1693,,5,0,0,100.0,1,Pennsylvania,2693,1,7,0,0,1000,60.0
65.0,1.0,Jack Frost,,Pennsylvania,20.0,100.0,100.0,1.0,50.0,1400,96.0,5,0,0,105.0,1,Pennsylvania,2000,1,9,0,2,600,47.0
77.0,1.0,Liberty,100.0,Pennsylvania,16.0,100.0,100.0,3.0,31.0,570,107.0,0,0,0,97.0,5,Pennsylvania,1190,3,8,0,0,620,54.0
33.0,0.5,Mount Pleasant of Edinboro,35.0,Pennsylvania,10.0,40.0,35.0,,100.0,1200,75.0,0,0,0,90.0,0,Pennsylvania,1540,1,2,0,1,340,48.0
73.0,0.4,Roundtop Mountain Resort,100.0,Pennsylvania,20.0,103.0,103.0,2.0,30.0,800,,0,0,0,,3,Pennsylvania,1400,3,8,0,2,600,55.0
87.0,1.2,Seven Springs,200.0,Pennsylvania,33.0,285.0,285.0,7.0,135.0,2240,99.0,0,0,2,115.0,3,Pennsylvania,2994,4,14,0,5,750,87.0
65.0,1.6,Shawnee Mountain Ski Area,120.0,Pennsylvania,23.0,125.0,125.0,2.0,50.0,650,100.0,4,1,0,122.0,1,Pennsylvania,1350,4,10,0,0,700,44.0
44.0,0.1,Ski Sawmill,15.0,Pennsylvania,14.0,15.0,13.0,1.0,24.0,1700,,1,0,0,90.0,0,Pennsylvania,2215,3,5,0,1,515,50.0
45.0,0.3,Tussey Mountain,30.0,Pennsylvania,8.0,38.0,30.0,1.0,41.0,1230,100.0,1,0,0,100.0,1,Pennsylvania,1750,3,5,0,0,520,39.0
71.0,1.0,Whitetail Resort,120.0,Pennsylvania,23.0,120.0,120.0,2.0,40.0,865,116.0,2,1,0,100.0,3,Pennsylvania,1800,2,8,0,0,935,28.0
45.0,1.6,Deer Mountain Ski Resort,,South Dakota,63.0,500.0,50.0,2.0,200.0,6040,69.0,1,0,0,81.0,0,South Dakota,6850,2,4,0,1,940,51.0
58.0,1.2,Terry Peak Ski Area,,South Dakota,30.0,450.0,225.0,1.0,150.0,5900,114.0,0,3,0,120.0,0,South Dakota,7100,1,5,0,1,1100,65.0
65.0,1.0,Ober Gatlinburg Ski Resort,,Tennessee,10.0,,,1.0,35.0,2700,83.0,1,0,0,94.0,2,Tennessee,3300,1,4,0,0,600,44.0
116.0,1.3,Alta Ski Area,,Salt Lake City,116.0,2614.0,140.0,,545.0,8530,150.0,2,3,0,140.0,0,Utah,11068,0,6,0,1,2538,81.0
50.0,0.8,Beaver Mountain,,Utah,48.0,464.0,,2.0,400.0,7232,120.0,3,0,0,120.0,0,Utah,8600,1,5,0,1,1600,81.0
59.0,0.6,Brian Head Resort,,Utah,71.0,650.0,216.0,2.0,360.0,9600,149.0,1,1,0,148.0,0,Utah,10970,0,8,0,6,1548,54.0
85.0,1.2,Brighton Resort,200.0,Salt Lake City,66.0,1050.0,200.0,4.0,500.0,8755,138.0,0,3,0,138.0,1,Utah,10500,2,7,0,1,1745,83.0
169.0,2.8,Deer Valley Resort,,Salt Lake City,103.0,2026.0,660.0,,300.0,6570,,2,13,0,,0,Utah,9570,0,21,1,5,3000,39.0
60.0,0.9,Eagle Point,,Utah,40.0,650.0,,1.0,400.0,9100,,2,0,0,109.0,1,Utah,10600,1,5,0,1,1500,9.0
88.0,3.5,Powder Mountain,300.0,Utah,167.0,8464.0,,2.0,500.0,6900,120.0,0,1,0,146.0,4,Utah,9422,3,9,0,1,2522,47.0
115.0,3.5,Snowbasin,,Utah,107.0,3000.0,625.0,4.0,300.0,6450,143.0,0,2,1,138.0,0,Utah,9350,2,11,3,3,2900,79.0
125.0,2.5,Snowbird,2.0,Salt Lake City,170.0,2500.0,,1.0,500.0,7760,188.0,4,6,0,180.0,0,Utah,11000,3,14,1,0,3240,48.0
119.0,3.0,Solitude Mountain Resort,,Salt Lake City,80.0,1200.0,150.0,,500.0,7994,161.0,1,4,0,148.0,2,Utah,10488,1,9,0,1,2494,62.0
80.0,0.6,Sundance,,Utah,45.0,450.0,112.0,1.0,320.0,6100,128.0,0,0,0,129.0,2,Utah,8250,1,5,0,2,2150,50.0
50.0,0.4,Nordic Valley Resort,140.0,Utah,23.0,140.0,84.0,1.0,300.0,5440,105.0,2,0,0,105.0,0,Utah,6400,2,4,0,0,960,51.0
79.0,0.6,Bolton Valley,50.0,Vermont,71.0,300.0,90.0,3.0,300.0,1446,133.0,3,0,0,132.0,2,Vermont,3150,1,6,0,0,1704,53.0
91.0,2.5,Bromley Mountain,,Vermont,47.0,178.0,153.0,1.0,168.0,1950,,4,1,0,152.0,1,Vermont,3284,3,9,0,0,1334,83.0
73.0,2.2,Burke Mountain,,Vermont,50.0,178.0,125.0,3.0,217.0,1210,110.0,0,2,0,125.0,1,Vermont,3267,3,6,0,0,2011,62.0
89.0,3.0,Jay Peak,,Vermont,79.0,385.0,300.0,2.0,349.0,1815,155.0,1,1,0,160.0,3,Vermont,3968,2,9,1,1,2153,64.0
119.0,6.0,Killington Resort,,Vermont,155.0,1515.0,600.0,6.0,250.0,1165,192.0,1,5,1,,4,Vermont,4241,5,22,3,3,3050,61.0
74.0,1.6,Magic Mountain,,Vermont,50.0,205.0,95.0,1.0,150.0,1350,76.0,3,0,0,80.0,0,Vermont,2850,3,6,0,0,1500,59.0
81.0,4.0,Pico Mountain,,Vermont,59.0,260.0,156.0,1.0,250.0,2000,,2,2,0,,0,Vermont,3967,1,7,0,2,1967,82.0
79.0,3.0,Smugglers' Notch Resort,,Vermont,78.0,1000.0,192.0,6.0,280.0,1030,136.0,6,0,0,135.0,0,Vermont,3640,2,8,0,0,2610,63.0
119.0,3.0,Sugarbush,,Vermont,111.0,581.0,406.0,4.0,250.0,1483,150.0,1,5,0,156.0,5,Vermont,4083,3,16,0,2,2600,61.0
75.0,0.4,Suicide Six,,Vermont,24.0,100.0,50.0,,90.0,550,100.0,2,0,0,106.0,0,Vermont,1200,1,3,0,0,650,85.0
68.0,0.4,Bryce Resort,20.0,Virginia,8.0,25.0,25.0,,30.0,1250,100.0,1,0,0,95.0,1,Virginia,1750,5,7,0,0,500,54.0
62.0,2.0,49 Degrees North,250.0,Washington,89.0,2325.0,,1.0,301.0,3932,101.0,5,0,0,135.0,1,Washington,5774,1,7,0,0,1851,48.0
47.0,2.0,Bluewood,,Washington,24.0,355.0,,2.0,300.0,4545,70.0,0,0,0,110.0,0,Washington,5670,1,3,0,2,1125,40.0
99.0,2.5,Crystal Mountain,,Washington,57.0,2600.0,10.0,1.0,486.0,4400,,2,2,2,,1,Washington,7012,0,10,1,2,3100,57.0
60.01,0.7,Mt. Baker,,Washington,38.0,1000.0,,,663.0,3500,143.0,0,0,0,165.0,8,Washington,5000,2,10,0,0,1500,66.0
59.0,0.6,Mt. Spokane Ski and Snowboard Park,45.0,Washington,52.0,1704.0,,3.0,300.0,4200,100.0,5,0,0,103.0,0,Washington,5889,1,7,0,1,2000,81.0
95.0,0.8,The Summit at Snoqualmie,541.0,Washington,112.0,1994.0,5.0,5.0,428.0,2840,120.0,10,3,0,140.0,3,Washington,3865,7,27,0,4,1025,82.0
69.0,2.5,White Pass,90.0,Washington,45.0,1402.0,30.0,2.0,400.0,4500,148.0,2,2,0,144.0,1,Washington,6550,2,8,0,1,2050,67.0
68.0,1.2,Canaan Valley Resort,,West Virginia,47.0,95.0,75.0,1.0,160.0,3430,,0,0,0,93.0,1,West Virginia,4280,1,4,0,2,850,48.0
87.0,1.5,Snowshoe Mountain Resort,86.0,West Virginia,60.0,257.0,257.0,5.0,180.0,3348,125.0,0,3,0,138.0,2,West Virginia,4848,3,14,0,6,1500,46.0
92.0,2.0,Timberline Four Seasons,27.0,West Virginia,40.0,100.0,100.0,1.0,150.0,3268,97.0,1,0,0,115.0,0,West Virginia,4265,1,4,0,2,1000,37.0
72.0,1.2,Winterplace Ski Resort,74.0,West Virginia,27.0,90.0,90.0,2.0,100.0,2997,120.0,2,0,0,120.0,2,West Virginia,3600,2,9,0,3,603,36.0
65.0,0.2,Alpine Valley Resort,90.0,Wisconsin,21.0,90.0,90.0,3.0,80.0,820,100.0,1,3,0,120.0,0,Wisconsin,1040,5,12,0,3,388,55.0
25.0,0.5,Bruce Mound,30.0,Wisconsin,12.0,40.0,30.0,2.0,42.0,1000,42.0,0,0,0,42.0,0,Wisconsin,1375,4,5,0,1,375,71.0
64.0,1.1,Cascade Mountain,,Wisconsin,47.0,175.0,175.0,4.0,56.0,820,120.0,2,2,0,120.0,2,Wisconsin,1280,3,12,0,3,460,57.0
38.0,0.8,Christie Mountain,35.0,Wisconsin,30.0,45.0,41.0,4.0,48.0,1300,92.0,1,0,0,120.0,0,Wisconsin,1650,5,6,0,0,350,43.0
65.0,1.0,Devils Head,200.0,Wisconsin,27.0,260.0,260.0,1.0,45.0,495,110.0,6,0,0,135.0,3,Wisconsin,995,2,12,0,1,500,48.0
49.0,0.2,Grand Geneva,30.0,Wisconsin,20.0,30.0,30.0,1.0,25.0,875,90.0,3,0,0,93.0,0,Wisconsin,1086,3,6,0,0,211,25.0
92.0,0.6,Granite Peak Ski Area,200.0,Wisconsin,75.0,220.0,160.0,4.0,75.0,1242,136.0,0,2,1,135.0,0,Wisconsin,1942,2,7,0,2,700,82.0
56.0,0.4,Mount La Crosse,90.0,Wisconsin,19.0,100.0,100.0,1.0,40.0,594,115.0,3,0,0,100.0,0,Wisconsin,1110,1,4,0,0,516,60.0
47.0,1.0,Nordic Mountain,60.0,Wisconsin,18.0,60.0,60.0,4.0,80.0,872,68.0,1,0,0,90.0,0,Wisconsin,1137,5,7,0,1,265,43.0
44.0,0.5,Sunburst,37.0,Wisconsin,13.0,37.0,37.0,4.0,50.0,866,99.0,3,0,0,115.0,0,Wisconsin,1100,6,9,0,0,214,59.0
54.0,0.5,Trollhaugen,86.0,Wisconsin,24.0,86.0,86.0,4.0,50.0,920,130.0,1,0,0,120.0,2,Wisconsin,1200,5,8,0,0,260,69.0
48.0,0.5,Tyrol Basin,32.0,Wisconsin,18.0,32.0,32.0,5.0,41.0,860,112.0,0,0,0,103.0,0,Wisconsin,1160,2,5,0,3,300,61.0
60.0,1.0,Whitecap Mountain,,Wisconsin,43.0,400.0,300.0,1.0,200.0,1295,105.0,4,0,0,118.0,1,Wisconsin,1750,0,5,0,0,400,57.0
66.0,0.5,Wilmot Mountain,135.0,Wisconsin,23.0,135.0,135.0,2.0,70.0,800,125.0,2,0,0,139.0,3,Wisconsin,1030,3,10,0,2,230,81.0
90.0,2.7,Grand Targhee Resort,,Wyoming,95.0,2602.0,,1.0,500.0,7851,152.0,0,2,0,152.0,2,Wyoming,9920,1,5,0,0,2270,50.0
48.0,0.6,Hogadon Basin,,Wyoming,28.0,92.0,32.0,1.0,80.0,7400,121.0,1,0,0,95.0,0,Wyoming,8000,1,2,0,0,640,61.0
42.0,1.0,Sleeping Giant Ski Resort,,Wyoming,48.0,184.0,18.0,1.0,310.0,6619,61.0,1,0,0,77.0,0,Wyoming,7428,1,3,0,1,810,81.0
59.0,1.0,Snow King Resort,110.0,Wyoming,32.0,400.0,250.0,2.0,300.0,6237,121.0,1,0,0,123.0,1,Wyoming,7808,0,3,0,1,1571,80.0
49.0,0.7,Snowy Range Ski & Recreation Area,,Wyoming,33.0,75.0,30.0,2.0,250.0,8798,131.0,3,0,0,,0,Wyoming,9663,1,5,0,1,990,59.0
49.0,0.4,White Pine Ski Area,,Wyoming,25.0,370.0,,,150.0,8400,,0,0,0,,0,Wyoming,9500,0,2,0,2,1100,81.0
